"Story","Title","Result","Date","Stability","Duration (s)"
"Verify the operation of the pet store's services","Verify the creation of a user in the pet store","SUCCESS","2024-02-22T17:44:58.0508221-05:00[America/Bogota]","0.0","4.52"
"Verify the operation of the pet store's services","Verify the user search method of the pet store","SUCCESS","2024-02-22T17:45:02.5863247-05:00[America/Bogota]","0.0","1.49"
"Verify the operation of the pet store's services","Verify the method that updates user information in the pet store","SUCCESS","2024-02-22T17:45:04.0803228-05:00[America/Bogota]","0.0","1.42"
"Verify the operation of the pet store's services","Verify the deletion of a previously created user","SUCCESS","2024-02-22T17:45:05.5018225-05:00[America/Bogota]","0.0","1.84"
